,Xdb (initial),Xdb (final),dX (Stage 1),dX (Stage 2),A/A0 (Stage 1),A/A0 (Stage 2),dV1 (solid),dV2 (solid),dV1 (water),dV2 (water)
S1,0.3671399594,0.3412778905,-0.025862069,-0.3412778905,0.9832840888,0.8614485429,6.39922179177504E-009,0.000000045,5.18714401952812E-009,6.84499593165174E-008
S2,0.3572048611,0.3307291667,-0.0264756944,-0.3307291667,1.0099868859,0.8581990295,-4.1286462773704E-009,6.04795951499721E-008,6.20423108218069E-009,7.75020341741254E-008
S3,0.3663127413,0.3416988417,-0.0246138996,-0.3416988417,0.9976447262,0.8477424938,8.72631291256774E-010,5.3365743358998E-008,5.18714401952806E-009,0.000000072
S4,,,,,,,,,,
O1,0.3448741007,0.154676259,-0.1901978417,-0.154676259,0.8640104752,0.7733522056,5.36484839119158E-008,3.35234419308193E-008,0.000000043,0.000000035
O2,0.3365114975,0.1536735838,-0.1828379136,-0.1536735838,0.8882813914,0.8080616897,3.822441285853E-008,0.000000026,3.31570382424736E-008,2.78681855166803E-008
O3,0.3447131342,0.1071597914,-0.2375533428,-0.1071597914,0.841142214,0.7845606678,6.01949353874819E-008,2.01519082817339E-008,0.000000051,0.000000023
O4,0.3395061728,0.1404320988,-0.1990740741,-0.1404320988,0.8822130686,0.8046238926,5.14558823161832E-008,3.20903049481244E-008,5.24816924328722E-008,0.000000037
K1,0.3318135765,0.0754812563,-0.2563323202,-0.0754812563,0.8820353268,0.8501022679,4.17781478195598E-008,1.08512568439085E-008,5.14646053702198E-008,1.51545972335231E-008
K2,0.332160804,0.0748743719,-0.2572864322,-0.0748743719,0.8802245797,0.8542040601,4.31327721190511E-008,0.000000009,5.20748576078113E-008,1.51545972335231E-008
K3,0.3084269663,0.0764044944,-0.2320224719,-0.0764044944,0.8830777176,0.8343162768,3.9644147347935E-008,1.57911735029746E-008,0.000000042,1.38323840520749E-008
K4,0.3339694656,0.0770992366,-0.256870229,-0.0770992366,0.9210391154,0.9172367589,3.74279244989191E-008,1.7632111397564E-009,6.84499593165175E-008,2.0545158665582E-008
N1,,,,,,,,,,
N2,0.3241188666,0.1440912232,-0.1800276434,-0.1440912232,0.8963719005,0.8453136615,5.3631608797356E-008,2.53262423503488E-008,0.000000053,4.2412530512612E-008
N3,0.3193046661,0.1408966148,-0.1784080512,-0.1408966148,0.9039881806,0.8172976327,3.74941374355138E-008,3.21888084705993E-008,3.96663954434501E-008,3.13262815296989E-008
N4,0.3199836535,0.1409889661,-0.1789946874,-0.1409889661,0.9005208322,0.8195511991,4.48791936625544E-008,3.47521408184834E-008,4.45484133441824E-008,3.50895036615134E-008
L1,0.3019713262,0.0362903226,-0.2656810036,-0.0362903226,0.8622359358,0.8837797118,5.75274099523885E-008,-8.71292155228487E-009,6.0313262815297E-008,8.23840520748576E-009
L2,0.2948269156,0.0377285103,-0.2570984053,-0.0377285103,0.8301304867,0.8533580702,7.8529754188196E-008,-1.0302428626103E-008,6.72294548413345E-008,9.86574450772968E-009
L3,0.2972522898,0.0378850958,-0.259367194,-0.0378850958,0.8546849405,0.880397312,6.23616166482267E-008,-1.06753246210428E-008,6.33645240032546E-008,9.25549227013843E-009
L4,,,,,,,,,,
