Salt,Notes,T-Target,T-Actual,Xdbi,Xdbf,Ai,Af,V/V0,T-load,T-remove,Mwat (removed),Ai (m^2),Af (m^2),V0,Vf,Vwat (removed),(V0-V)/V0,Vwat/V0,Y=X,Xg,Percent Above,Percent Below,Pabove,Pbelow,L/L0,Linf/L0,(L-Linf)/(L0-Linf),Temperature,Density,Solid Density
$K_2SO_4$       ,,40,43.2,0.412,0.3963,0.3317,0.3208,0.9511,1404,402,0.0035,0.000214013,0.00020698,2.78E-07,2.65E-07,3.53E-09,0.04888434,0.012694372,0.04888434,0.195666,13.77923567,-12.77923567,1,0,0.983432432,0.985799416,-0.166682105,42.6,991.2,1504.15
$K_2SO_4$       ,,40,43.2,0.4886,0.3958,0.3909,0.3707,0.9234,1512,530,0.0239,0.000252209,0.000239176,3.28E-07,3.03E-07,2.41E-08,0.076503246,0.073556468,0.076503246,0.195666,3.156616379,-2.156616379,1,0,0.97381936,0.909814329,0.709702886,43.2,991,1503.93
$K_2SO_4$       ,,40,43.2,0.4708,0.3624,0.345,0.313,0.8643,1564,655,0.0234,0.000222594,0.000201948,2.89E-07,2.50E-07,2.36E-08,0.135852528,0.081599105,0.135852528,0.195666,2.538136531,-1.538136531,1,0,0.952494817,0.896445155,0.541255818,49.3,988.4,1501.68
$KNO_3$     ,,40,43.2,0.415,0.2227,0.3301,0.2816,0.788,1111,0,0.0405,0.000212981,0.000181688,2.77E-07,2.18E-07,4.09E-08,0.212082604,0.147604002,0.212082604,0.195666,1.140582423,-0.140582423,1,0,0.923620491,0.825592199,0.562063691,52.4,986,1500.53
$KNO_3$     ,,40,43.2,0.4352,0.2288,0.3697,0.3258,0.8274,1186,6,0.0468,0.00023853,0.000210206,3.10E-07,2.57E-07,4.72E-08,0.172720154,0.152294787,0.172720154,0.195666,1.160532946,-0.160532946,1,0,0.938752037,0.809310576,0.678807761,61.1,982.6,1497.31
$KNO_3$     ,,40,43.2,0.4178,0.2181,0.3622,0.3284,0.8634,1260,141,0.0443,0.000233691,0.000211884,3.04E-07,2.62E-07,4.47E-08,0.136659621,0.14714446,0.136659621,0.195666,1.112338508,-0.112338508,1,0,0.952198316,0.818419599,0.736746455,63.3,981.5,1496.49
$KNO_3$     ,,40,43.2,0.4186,0.2301,0.3362,0.3043,0.861,1325,283,0.0403,0.000216916,0.000196334,0.000000282,2.43E-07,4.07E-08,0.138894497,0.144210198,0.138894497,0.195666,1.18267374,-0.18267374,1,0,0.951376032,0.82847861,0.716513676,78.1,973,1491.01
$K_2CO_3$       ,,40,49.3,0.4135,0.1029,0.3787,0.3091,0.7374,860,2012,0.0727,0.000244337,0.000199431,3.18E-07,2.34E-07,7.36E-08,0.262595897,0.231562728,0.262595897,0.179468,0.75348358,0.24651642,0.75348358,0.24651642,0.903445302,0.719118378,0.656244159,80.7,971.4,1490.04
$K_2CO_3$       ,,40,49.3,0.4112,0.1014,0.355,0.2777,0.692,941,2146,0.0684,0.000229046,0.000179172,2.98E-07,0.000000206,6.92E-08,0.308135113,0.232411333,0.308135113,0.179468,0.748005165,0.251994835,0.748005165,0.251994835,0.884450873,0.720423335,0.586699673,,,
$K_2CO_3$       ,,40,49.3,0.408,0.1015,0.4051,0.3372,0.7596,1026,2247,0.0818,0.000261371,0.000217561,3.40E-07,0.000000258,8.28E-08,0.240569589,0.243568215,0.240569589,0.179468,0.745618271,0.254381729,0.745618271,0.254381729,0.91235244,0.724197861,0.682208558,,,
