"Salt","Notes","T-Target","T-Actual","Xdbi","Xdbf","Ai","Af","V/V0","T-load","T-remove"
"$K_2SO_4$       ",,40,43.2,0.4120,0.3963,0.3317,0.3208,0.9511,1404,402
"$K_2SO_4$       ",,40,43.2,0.4886,0.3958,0.3909,0.3707,0.9234,1512,530
"$K_2SO_4$       ",,40,43.2,0.4708,0.3624,0.3450,0.3130,0.8643,1564,655
"$KNO_3$     ",,40,43.2,0.4150,0.2227,0.3301,0.2816,0.7880,1111,0
"$KNO_3$     ",,40,43.2,0.4352,0.2288,0.3697,0.3258,0.8274,1186,6
"$KNO_3$     ",,40,43.2,0.4178,0.2181,0.3622,0.3284,0.8634,1260,141
"$KNO_3$     ",,40,43.2,0.4186,0.2301,0.3362,0.3043,0.8610,1325,283
"$K_2CO_3$       ",,40,49.3,0.4135,0.1029,0.3787,0.3091,0.7374,860,2012
"$K_2CO_3$       ",,40,49.3,0.4112,0.1014,0.3550,0.2777,0.6920,941,2146
"$K_2CO_3$       ",,40,49.3,0.4080,0.1015,0.4051,0.3372,0.7596,1026,2247
"$NaCl$      ",,40,49.3,0.4271,0.1560,0.4052,0.3103,0.6702,317,1447
"$NaCl$      ",,40,49.3,0.3838,0.1519,0.4433,0.3617,0.7371,401,1591
"$NaCl$      ",,40,49.3,0.4210,0.1584,0.3508,0.2955,0.7734,637,1737
"$NaCl$      ",,40,49.3,0.3963,0.1577,0.3365,0.2789,0.7545,704,1886
"$LiCl$      ",,40,49.3,0.4567,0.0649,0.4240,0.3472,0.7409,0,959
"$LiCl$      ",,40,49.3,0.4383,0.0599,0.3425,0.2670,0.6884,83,1075
"$LiCl$      ",,40,49.3,0.4484,0.0707,0.3482,0.2681,0.6754,166,1205
"$LiCl$      ",,40,49.3,0.4416,0.0648,0.3318,0.2651,0.7143,242,1322
"$KNO_3$   ",,50,52.4,0.5076,0.1917,0.4411,0.3646,0.7516,551,227
